Unnamed: 0,u,d,l,r
"[-10.0, -1.0]",0.0,-0.0482905134605664,505.4826915751996,194.6450155673121
"[5.0, -1.0]",39.07552673000462,612.7316595430605,535.2710116606564,479.6396756452119
"[-7.0, -3.0]",75.15392964201386,34.94901526028339,539.3977687718482,298.11292985077137
"[6.0, -3.0]",0.0,0.0,283.0828140607432,67.46896698591961
"[5.0, -3.0]",0.5221381475417832,6.945547252308229,305.1582492117814,104.17330765471543
"[4.0, -3.0]",4.935198273823499,6.506553065577497,504.8380713961135,287.8538652612674
"[-9.0, -1.0]",0.0,0.011292020352392,720.5997603779634,372.5606312341924
"[6.0, -1.0]",52.99938711443596,569.3188186977609,483.51506261922356,421.0865373633684
"[-8.0, -1.0]",1.0830505776391584,4.100049106881442,885.1408015096096,782.5466178287954
"[7.0, -1.0]",64.20740727427749,566.2841070423117,488.72812395915,389.4621266825998
"[-6.0, -3.0]",118.97683319702324,54.56187853705549,614.3663339226815,306.51774486195905
"[3.0, -3.0]",0.0,10.06398817996029,710.7451419316511,640.5270578393275
"[-7.0, -1.0]",0.0,3.61128116456305,989.9355815777584,983.6702034931759
"[8.0, -1.0]",26.60926079718116,543.5753633106686,436.8927528426472,362.6505711918019
"[10.0, -1.0]",14.908854043367272,465.2874028987333,381.69414933879824,305.2023569838235
"[-5.0, -3.0]",118.24618610627594,54.556306853829504,597.1780167972586,131.67717694827448
"[-4.0, -3.0]",105.4451658787958,73.5835051744923,618.8630667899029,118.1111426675738
"[9.0, -1.0]",20.781590993703947,502.38399146829613,411.99806389492636,304.49247585447495
"[-2.0, -3.0]",14.71126963729038,46.35359023435867,439.4025101634145,185.90702106871055
"[-1.0, -3.0]",2.9667909819913603,20.14746667265309,453.19912916748103,211.52074912328
"[-0.0, -3.0]",5.42914941347535,8.74800234151077,483.17742488372795,153.2823059956751
"[0.0, -3.0]",0.0,0.0,580.2022489873796,299.66786527320653
"[7.0, -3.0]",3.3968043423763006,0.0,244.44302935982628,61.96909648974308
"[8.0, -3.0]",0.0,10.410381970273862,204.6445563984765,60.78261698874926
"[9.0, -3.0]",2.824115585021729,0.0,192.10588069833108,76.88759363931908
"[10.0, -3.0]",0.0,5.891134115227614,186.17626696731597,45.18921840273516
"[-6.0, -1.0]",2.538378350981725,0.3157913082851419,1059.1288416458895,1065.3554414202322
"[-5.0, -1.0]",17.858101507501868,0.0,1023.4952101102803,1013.8336013765606
"[11.0, -3.0]",0.0,0.0,135.45339971422405,19.54149370031245
"[12.0, -3.0]",0.0,0.0,126.64541418529188,24.88086216144075
"[13.0, -3.0]",0.0,0.0,63.2816367966572,15.070855890175809
"[-4.0, -1.0]",106.87963015136496,24.49923544017039,731.9089861424993,650.9882595965529
"[-3.0, -1.0]",359.42256345106705,42.8982865854427,562.7552882355267,450.865134606505
"[1.0, -3.0]",3.339607776637351,6.550463301627911,718.459631009873,544.8086948808807
"[14.0, -3.0]",0.0,0.0,76.68211964783828,14.464101650881222
"[-2.0, -1.0]",396.40996192466525,220.3830428927973,441.72741212340475,424.7196982081682
"[15.0, -3.0]",0.0,0.0,38.25723669888163,7.78932292166128
"[-1.0, -1.0]",288.3256151187054,265.48214187923713,371.7960323491801,411.03255261033235
"[-2.0, -4.0]",7.040884116935648,30.05434907084506,369.089325894122,91.7349263316056
"[14.0, -4.0]",0.0,0.0,41.80479471892656,6.99108849878991
"[-3.0, -2.0]",39.42476444588853,26.013875610355285,567.6495732514178,313.5571006446581
"[4.0, -2.0]",18.13439095537552,33.98580152978917,626.3888056360978,574.8907885766123
"[-4.0, -5.0]",82.97645134712731,18.16842141522091,186.50240244279667,59.35556852228807
"[13.0, -5.0]",0.0,0.0,41.73451268962289,3.8803375657860775
"[-3.0, -3.0]",41.21517938164505,86.09655130200976,492.7796588516759,106.98381593739154
"[-5.0, -5.0]",156.93881852507735,12.211054075925986,72.06024936589722,22.233183651166065
"[11.0, -5.0]",0.0,0.0,72.47180143786449,8.211255978184004
"[-6.0, -6.0]",120.04318596228205,6.39572381597957,10.318648445402445,0.0695812314975449
"[10.0, -6.0]",0.0,0.0,45.54962061381394,6.305396709502589
"[-3.0, -4.0]",38.4156726187942,76.68750589230193,391.78220517344965,55.323682111206885
"[-7.0, -6.0]",61.67207930593492,-0.1431662045952149,0.8999021574720543,-0.0807235017761913
"[9.0, -6.0]",0.0,0.0,55.28946950394336,2.59686785731229
"[-8.0, -7.0]",61.5780808078836,-0.2863709338511017,4.335009623961898,-0.1670924411225305
"[9.0, -7.0]",0.0,0.0,44.71342225583474,0.007917869225282481
"[-3.0, -5.0]",6.195337662030014,28.457411451447864,248.74017326008305,45.98439968003424
"[-2.0, -5.0]",0.5166639799122953,13.95312519484668,288.2291404509946,19.8824294338992
"[-9.0, -7.0]",49.75452027366544,-0.6515947709074705,2.0810693614180917,0.0
"[8.0, -7.0]",0.0,0.0,40.5472080544676,2.5840653184310773
"[-1.0, -5.0]",0.0,6.560338734204604,247.82051016372793,34.086425960333415
"[-10.0, -7.0]",30.2924229188002,-0.2,0.0,-0.3645385612554956
"[7.0, -7.0]",0.0,0.0,41.22545722876362,4.343740210724308
"[0.0, -5.0]",0.0,0.0,239.44783079454353,13.863626204513029
"[-11.0, -8.0]",30.368411521594982,-0.2,-0.2181528710345248,0.0
"[7.0, -8.0]",0.0,0.0,18.997520292457512,-0.390474133148338
"[-5.0, -6.0]",115.81176629195068,0.3412502171608386,42.83815628925044,12.277579841505911
"[1.0, -5.0]",0.0,0.0958249526831186,215.11680657508634,12.82182674297932
"[-12.0, -8.0]",17.557285223492105,-0.2,0.0,0.0
"[6.0, -8.0]",0.0,0.0,48.82840684126357,-0.3404910866890094
"[2.0, -6.0]",0.0,0.0,162.0620442192348,10.32029272721363
"[-13.0, -8.0]",17.537735435606972,-0.2,0.0,-0.1656217999999999
"[1.0, -6.0]",0.0,0.0,155.46558797358878,9.380051863675677
"[-15.0, -8.0]",12.908512464577916,-0.3852927182,0.0,0.0
"[-16.0, -8.0]",9.675777431274028,-0.38873357310782,0.0,-0.1458937295351695
"[5.0, -8.0]",0.0,0.0,64.26551056270388,-1.4840839309667844
"[-17.0, -8.0]",2.8382876511816604,-0.381782,-0.2,0.0
"[4.0, -8.0]",0.0,0.0,60.83456149759992,3.492461983042358
"[-18.0, -8.0]",3.59346244689218,-0.2,0.0,-0.183782
"[3.0, -6.0]",0.0,0.0,128.6931598696528,10.215748456228058
"[-19.0, -8.0]",2.0,-0.2,0.0,0.0
"[-20.0, -8.0]",1.802,-0.2,0.0,0.0
"[-21.0, -8.0]",1.802,-0.2,0.0,0.0
"[4.0, -6.0]",0.0,0.0,115.93709930741517,14.83806925389592
"[-23.0, -8.0]",2.0,-0.2,0.0,0.0
"[-25.0, -8.0]",0.0,-0.2,0.0,0.0
"[-26.0, -8.0]",2.0,-0.2,0.0,0.0
"[-28.0, -8.0]",3.78398,-0.38,0.0,0.0
"[-29.0, -8.0]",3.796238,-0.7753725182,0.0,0.0
"[3.0, -8.0]",0.0,0.0,56.08659426773235,1.8337436731490504
"[-30.0, -8.0]",3.397800998,-0.1872927182,-4.7531457130579255,0.0
"[-8.0, -6.0]",62.10080722068662,-0.5896834705470408,1.8541188052970456,4.1127989763249735
"[-9.0, -6.0]",55.81800050371384,-0.3270425903460479,1.7111442067824896,0.0611151175586627
"[-10.0, -6.0]",33.86420867524436,-0.2853015896404821,0.0,-0.0858025872402954
"[-11.0, -6.0]",30.39077762498725,-0.742413167817945,-2.8439588876078408,-0.2411502911493837
"[2.0, -8.0]",0.0,0.0,75.2343708818959,3.0392101685357047
"[2.0, -5.0]",0.0,0.0,225.8220917420297,14.254530761557064
"[0.0, -8.0]",0.0,0.0,39.14966717985013,-0.8982185046284337
"[-1.0, -8.0]",0.0,0.2091612424058595,85.94238165893076,6.347844957865495
"[-2.0, -8.0]",0.0,-0.3455810394976035,84.71622593966,7.610748579343524
"[-3.0, -8.0]",3.3729156061761194,0.876892448448634,79.20715986942568,10.29596533364051
"[-4.0, -8.0]",39.08991582669761,9.06263806804566,52.452699727327456,19.68318540462701
"[-5.0, -8.0]",62.750436960221,-0.8155608206864988,15.565738742812435,14.68290648583699
"[-6.0, -8.0]",73.37664273138508,1.5618983961129278,9.423822095651852,-0.0591416091699849
"[-7.0, -8.0]",49.07527147706517,-0.7413867372783273,0.0,0.0
"[-0.0, -5.0]",0.0,0.0,188.0887159466436,6.077954006321376
"[1.0, -8.0]",0.0,0.0,91.78692576721461,5.644275115554711
"[-27.0, -8.0]",1.802,-0.577802,0.0,0.0
"[-12.0, -6.0]",38.6469502704715,-0.3852927182,2.334339316569184,-0.182
"[3.0, -5.0]",0.0,0.0,173.4391549933808,14.514956696407742
"[-24.0, -8.0]",1.802,0.0,0.0,0.0
"[-14.0, -8.0]",11.759001644065986,-0.1872927182,0.0,0.0
"[4.0, -5.0]",0.0,0.0,142.3898918119465,23.036713819650267
"[-10.0, -8.0]",28.981852720308027,-0.183782,0.0,0.0
"[-4.0, -6.0]",49.05047276020066,4.10214360885539,118.40281898369588,44.94586146695714
"[-8.0, -8.0]",26.248103400226444,-0.3263885483685451,0.0,-0.1638654625774684
"[-3.0, -6.0]",6.489908076065288,25.42389696532211,172.6093344046105,18.814500866890306
"[-2.0, -6.0]",2.9842157020265634,11.745900580875466,184.59996520095075,12.376946324240723
"[-1.0, -6.0]",0.0,0.9869016170336212,177.46474747919098,1.053782463452679
"[-0.0, -6.0]",0.0,0.0,87.83242748306893,9.723191682839971
"[-0.0, -8.0]",0.0,0.0,-2.486051098168548,3.040464344215559
"[0.0, -6.0]",0.0,0.0,65.2831911475486,1.7305009180695765
"[4.0, -1.0]",213.50023947911288,729.0671538942353,734.1419541763671,693.1308488185256
"[2.0, -3.0]",0.0,7.244355495621096,758.5841361004346,688.1847150473257
"[-11.0, -1.0]",0.0,0.0,421.9890442778835,154.5832017045557
"[3.0, -1.0]",383.6525340506379,793.6870061612631,810.6497577371249,817.3657492430483
"[1.0, -1.0]",801.9979986878079,960.8980732551493,960.2660228273314,836.241912878241
"[2.0, -1.0]",585.6695854320361,866.1923797172832,895.996677689523,882.8927742418143
"[-12.0, -1.0]",0.0,0.0,375.265052342726,127.05612741896208
"[2.0, -4.0]",0.0,0.0,532.7352044381857,298.75464039650024
"[3.0, -4.0]",0.0,3.001782315524749,480.42132504472943,251.4077484739445
"[-8.0, -2.0]",0.0,10.913316584172655,709.2218660272598,525.2166130399304
"[3.0, -2.0]",28.016791523803,76.35025922056568,789.0797431352094,819.6777347474801
"[5.0, -5.0]",0.0,0.0,157.7217674187279,2.5625223429542623
"[6.0, -6.0]",0.0,0.0,73.84912126939604,7.884941258222211
"[8.0, -4.0]",0.0,0.0,154.9751120634739,12.824183224265006
"[-0.0, -4.0]",0.0,1.5645916322414086,345.63560583483854,31.0043900517869
"[9.0, -4.0]",0.0,0.0,140.31392733501386,14.959580172228806
"[1.0, -4.0]",0.0,3.9931672358339503,536.2380167296006,210.5792994125831
"[10.0, -5.0]",0.0,0.0,95.47136877095846,6.526517808312648
"[3.0, -7.0]",0.0,0.0,85.24090474974646,7.550498252859621
"[6.0, -7.0]",0.0,0.0,69.8033128607003,-1.3585771477328807
"[5.0, -7.0]",0.0,0.0,103.95044071329299,0.6738986315074766
"[12.0, -5.0]",0.0,0.0,52.73234689537443,3.4616349063561747
"[12.0, -6.0]",0.0,0.0,32.911883360626256,1.5043208211650314
"[5.0, -6.0]",0.0,0.0,87.38602971030598,6.390276823550525
"[13.0, -6.0]",0.0,0.0,46.15179185291072,-0.159609347113998
"[14.0, -6.0]",0.0,0.0,25.992307482896887,6.416539945966349
"[15.0, -6.0]",0.0,0.0,30.97396826970913,5.23396159267692
"[17.0, -6.0]",0.0,0.0,11.61444316925878,-0.5242276225623391
"[16.0, -6.0]",0.0,0.0,25.68603509510818,-0.4459165091071979
"[18.0, -6.0]",0.0,0.0,26.65870106758184,3.697926733929343
"[19.0, -6.0]",0.0,0.0,9.55099227612717,-0.4550512356810692
"[11.0, -6.0]",0.0,0.0,46.53260563445023,4.116318870921329
"[7.0, -6.0]",0.0,0.0,69.94400239659883,3.292307047270309
"[8.0, -6.0]",0.0,0.0,64.49539546057255,3.377807001664334
"[9.0, -8.0]",0.0,0.0,33.584884063435574,-0.4779696519050034
"[10.0, -8.0]",0.0,0.0,21.858585487917697,6.111033441919807
"[11.0, -8.0]",0.0,0.0,15.633783292133405,2.334133074982704
"[12.0, -8.0]",0.0,0.0,27.367625327958017,1.090435255572821
"[13.0, -8.0]",0.0,0.0,17.293439299132274,1.3112225555234152
"[14.0, -8.0]",0.0,0.0,7.257929603186614,4.15377641775069
"[15.0, -8.0]",0.0,0.0,12.47847228287681,-0.8890882404638459
"[16.0, -8.0]",0.0,0.0,6.749805826191215,1.2092370427940642
"[17.0, -8.0]",0.0,0.0,8.157961388638778,-1.3030244196476022
"[19.0, -8.0]",0.0,0.0,17.56777982872166,-0.3836864584513837
"[18.0, -8.0]",0.0,0.0,12.44179054098957,-0.3586492762574618
"[20.0, -8.0]",0.0,0.0,15.39116012752697,2.0360464373680465
"[21.0, -8.0]",0.0,0.0,6.382145371149642,1.5624387295377853
"[23.0, -8.0]",0.0,0.0,13.234473951937732,-0.4742796843712972
"[24.0, -8.0]",0.0,0.0,5.405959052954139,-0.9767685171593417
"[22.0, -8.0]",0.0,0.0,8.313920729945522,-0.4569699055638295
"[25.0, -8.0]",0.0,0.0,4.822936965848401,5.482529393500991
"[26.0, -8.0]",0.0,0.0,4.813318242780946,4.904782489461276
"[27.0, -8.0]",0.0,0.0,3.718496863302305,0.0
"[8.0, -8.0]",0.0,0.0,24.344960208264578,-0.3007263504226204
"[20.0, -6.0]",0.0,0.0,16.579405363166273,0.5284308665515653
"[21.0, -6.0]",0.0,0.0,14.323491196611412,3.5589788167379
"[22.0, -6.0]",0.0,0.0,11.496588083028891,1.078439041469216
"[23.0, -6.0]",0.0,0.0,10.670810677799851,0.0586167923223279
"[24.0, -6.0]",0.0,0.0,11.520120935580229,-0.8446313093440634
"[26.0, -6.0]",0.0,0.0,2.3220868308292206,1.5520373655739874
"[27.0, -6.0]",0.0,0.0,8.138477103930903,-0.9369821418917408
"[28.0, -6.0]",0.0,0.0,4.300250131047234,2.0393365198518727
"[25.0, -6.0]",0.0,0.0,8.69374928009949,-0.4161975812986697
"[-10.0, -0.0]",0.0,0.0,777.7356366705218,231.4606859728813
"[5.0, -2.0]",16.54255446219158,60.37550373697359,439.6307747287668,254.94344868568254
"[-10.0, 0.0]",0.0,0.0,1152.445815950544,621.4588256429877
"[-9.0, 1.0]",2.909639026533002,0.0,1156.981399738466,916.4607947058938
"[6.0, -2.0]",8.773940998212321,37.15004435123556,445.22142323184875,214.60655053606672
"[-10.0, 1.0]",0.0,0.0,1274.306251018195,879.7319680595856
"[2.0, -2.0]",36.5283414045356,100.78860173040516,864.8466837980548,844.0147997200922
"[-10.0, 2.0]",2.3805894198634867,2.349001214714112,854.5745806926085,602.6464639821128
"[-10.0, 3.0]",254.40525809317376,19.24188560699117,238.26992303682792,87.94489139196207
"[-10.0, 4.0]",420.3457909071988,21.109564635494863,83.81583245367729,1.6467025699199098
"[-9.0, 4.0]",434.2205704961837,14.836431301875292,75.06690681635563,10.785365796593162
"[13.0, -4.0]",0.0,0.0,56.80832195759785,7.115140649142117
"[-9.0, 5.0]",298.85336658560027,10.679331338966238,13.6091234410617,0.0
"[15.0, -4.0]",0.0,0.0,35.61320903918422,4.969819025730447
"[16.0, -4.0]",0.0,0.0,38.7949327042669,5.915536294821138
"[-8.0, 5.0]",316.8008574207892,9.722219969130382,10.891749492993084,0.0149986316008753
"[-7.0, 5.0]",291.6584163209475,7.075483974936832,5.51382779508822,18.485147264101823
"[-6.0, 5.0]",285.39221694673034,13.620990541204185,26.04710323553853,23.808310883605508
"[-6.0, 4.0]",355.9712384255009,25.244412881382623,45.33823533624913,49.00185404604782
"[-7.0, 4.0]",372.3104238127818,23.657999701261662,37.683711520318916,35.537612800247736
"[7.0, -2.0]",10.226615417535708,41.49699126241767,362.73234698614357,208.28151459465423
